ID	GeneID	MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
69201	ENSG00000054690.13	0.207	0.11	0.063	0	0	0.021
30035	ENSG00000151239.13	1	0.93	0.837	0.623	0.469	0.595
26523	ENSG00000163328.13	0.146	0.059	0	0.313	0.279	0.305
41160	ENSG00000174483.19	0.71	0.803	0.521	0.239	0.155	0.254
54302	ENSG00000138185.18	1	1	1	0.706	0.77	0.285
55028	ENSG00000114796.15	0	0	0	0.295	0.104	0.567
8439	ENSG00000149548.14	1	0.831	0.884	0.402	0.31	0.622
9913	ENSG00000235194.8	0.343	0.264	0.418	0.764	0.611	0.847
13050	ENSG00000136231.13	1	0.953	0.921	0.785	0.76	0.794
6617	ENSG00000139631.18	0.846	0.594	0.814	0.215	0.354	0.154
76134	ENSG00000117691.9	0.783	0.827	0.902	0.941	0.964	0.952
1007	ENSG00000164654.15	1	1	0.622	0.155	0.355	0.622
66603	ENSG00000122203.14	0	0.211	0.348	0.8	0.874	0.517
79020	ENSG00000148737.16	1	1	0.634	0.076	0	0.142
50037	ENSG00000100722.18	0.843	0.703	0.954	0.54	0.435	0.549
26315	ENSG00000074219.13	0.059	0.132	0.075	0.291	0.223	0.186
26840	ENSG00000104408.9	0.102	0.222	0.247	0.362	0.452	0.343
66163	ENSG00000073921.17	0.987	0.965	0.989	0.483	0.423	0.988
26684	ENSG00000152455.15	0.454	0.429	0.448	0.259	0.24	0.248
5153	ENSG00000048052.21	0.822	0.941	0.846	0.666	0.581	0.524
32884	ENSG00000182095.14	0.981	0.914	0.851	0.642	0.736	0.836
28364	ENSG00000145425.9	1	1	0.889	0.685	0.571	0.867
54354	ENSG00000101333.16	0.841	0.855	0.862	0.388	0.336	0.388
28411	ENSG00000132424.14	0.481	0.604	0.58	0.755	0.643	0.855
69259	ENSG00000197603.13	0.696	0.914	0.771	1	1	1
27857	ENSG00000137501.17	0.03	0.107	0.131	0.591	0.464	1
55213	ENSG00000185404.16	0.297	0.601	0.646	1	0.632	1
56949	ENSG00000137337.14	0.586	0.758	0.635	0.853	0.806	0.895
30833	ENSG00000166169.16	1	1	0.971	0.764	0.836	0.907
7571	ENSG00000131943.17	0.722	0.445	0.638	0.847	1	1
